edge_type_id source_query target_query model_template delay dynamics_params
0 * pop_name=='e5Rbp4' static_synapse 1.0 e2e.json
1 * pop_name=='e23Cux2' static_synapse 1.0 e2e.json
2 * pop_name=='e4Scnn1a' static_synapse 1.0 e2e.json
3 * pop_name=='i6Htr3a' static_synapse 1.0 e2i.json
4 * pop_name=='e4other' static_synapse 1.0 e2e.json
5 * pop_name=='i4Sst' static_synapse 1.0 e2i.json
6 * pop_name=='e4Nr5a1' static_synapse 1.0 e2e.json
7 * pop_name=='i5Sst' static_synapse 1.0 e2i.json
8 * pop_name=='i4Pvalb' static_synapse 1.0 e2i.json
9 * pop_name=='i6Sst' static_synapse 1.0 e2i.json
10 * pop_name=='i6Pvalb' static_synapse 1.0 e2i.json
11 * pop_name=='i23Pvalb' static_synapse 1.0 e2i.json
12 * pop_name=='i23Htr3a' static_synapse 1.0 e2i.json
13 * pop_name=='e4Rorb' static_synapse 1.0 e2e.json
14 * pop_name=='i5Htr3a' static_synapse 1.0 e2i.json
15 * pop_name=='i5Pvalb' static_synapse 1.0 e2i.json
16 * pop_name=='i23Sst' static_synapse 1.0 e2i.json
17 * pop_name=='i4Htr3a' static_synapse 1.0 e2i.json
18 * pop_name=='e6Ntsr1' static_synapse 1.0 e2e.json
19 * pop_name=='i1Htr3a' static_synapse 1.0 e2i.json
20 * pop_name=='e5noRbp4' static_synapse 1.0 e2e.json
