edge_type_id source_query target_query model_template delay dynamics_params
0 LGN node_type_id=='485880739' static_synapse 1.7 e2e.json
1 LGN node_type_id=='485574832' static_synapse 1.7 e2e.json
2 LGN node_type_id=='487664663' static_synapse 1.7 e2e.json
3 LGN node_type_id=='471129934' static_synapse 1.7 e2e.json
4 LGN node_type_id=='486052980' static_synapse 1.7 e2e.json
5 LGN node_type_id=='486110216' static_synapse 1.7 e2e.json
6 LGN node_type_id=='487661754' static_synapse 1.7 e2e.json
7 LGN node_type_id=='471087830' static_synapse 1.7 e2i.json
8 LGN node_type_id=='478058328' static_synapse 1.7 e2i.json
9 LGN node_type_id=='478828646' static_synapse 1.7 e2i.json
10 LGN node_type_id=='395830185' static_synapse 1.7 e2e.json
11 LGN node_type_id=='476218657' static_synapse 1.7 e2e.json
12 LGN node_type_id=='314900022' static_synapse 1.7 e2e.json
13 LGN node_type_id=='484635029' static_synapse 1.7 e2i.json
14 LGN node_type_id=='341442651' static_synapse 1.7 e2i.json
15 LGN node_type_id=='488501071' static_synapse 1.7 e2i.json
16 LGN node_type_id=='464188580' static_synapse 1.7 e2i.json
17 LGN node_type_id=='475622793' static_synapse 1.7 e2i.json
18 LGN node_type_id=='327962063' static_synapse 1.7 e2i.json
19 LGN node_type_id=='479220013' static_synapse 1.7 e2i.json
20 LGN node_type_id=='475622680' static_synapse 1.7 e2i.json
21 LGN node_type_id=='469753383' static_synapse 1.7 e2i.json
22 LGN node_type_id=='474267418' static_synapse 1.7 e2i.json
23 LGN node_type_id=='473943881' static_synapse 1.7 e2i.json
24 LGN node_type_id=='480124551' static_synapse 1.7 e2e.json
25 LGN node_type_id=='324025371' static_synapse 1.7 e2e.json
26 LGN node_type_id=='485836906' static_synapse 1.7 e2e.json
27 LGN node_type_id=='480087928' static_synapse 1.7 e2e.json
28 LGN node_type_id=='314642645' static_synapse 1.7 e2e.json
29 LGN node_type_id=='479179020' static_synapse 1.7 e2e.json
30 LGN node_type_id=='473020156' static_synapse 1.7 e2e.json
31 LGN node_type_id=='484679812' static_synapse 1.7 e2e.json
32 LGN node_type_id=='478110866' static_synapse 1.7 e2i.json
33 LGN node_type_id=='486146717' static_synapse 1.7 e2e.json
34 LGN node_type_id=='477135941' static_synapse 1.7 e2e.json
35 LGN node_type_id=='487601493' static_synapse 1.7 e2e.json
36 LGN node_type_id=='478793814' static_synapse 1.7 e2i.json
37 LGN node_type_id=='313861608' static_synapse 1.7 e2i.json
38 LGN node_type_id=='487667205' static_synapse 1.7 e2i.json
39 LGN node_type_id=='476686112' static_synapse 1.7 e2i.json
40 LGN node_type_id=='324493977' static_synapse 1.7 e2i.json
41 LGN node_type_id=='474626527' static_synapse 1.7 e2i.json
42 LGN node_type_id=='313862167' static_synapse 1.7 e2i.json
43 LGN node_type_id=='318808427' static_synapse 1.7 e2e.json
44 LGN node_type_id=='370351753' static_synapse 1.7 e2e.json
45 LGN node_type_id=='422738880' static_synapse 1.7 e2e.json
46 LGN node_type_id=='386049446' static_synapse 1.7 e2e.json
47 LGN node_type_id=='318733871' static_synapse 1.7 e2e.json
48 LGN node_type_id=='476457450' static_synapse 1.7 e2e.json
49 LGN node_type_id=='475585413' static_synapse 1.7 e2i.json
50 LGN node_type_id=='478107198' static_synapse 1.7 e2i.json
51 LGN node_type_id=='482690728' static_synapse 1.7 e2i.json
52 LGN node_type_id=='478396248' static_synapse 1.7 e2i.json
53 LGN node_type_id=='464198958' static_synapse 1.7 e2i.json
54 LGN node_type_id=='475517090' static_synapse 1.7 e2i.json
55 LGN node_type_id=='480351780' static_synapse 1.7 e2e.json
56 LGN node_type_id=='476131588' static_synapse 1.7 e2e.json
57 LGN node_type_id=='480353286' static_synapse 1.7 e2e.json
58 LGN node_type_id=='354190013' static_synapse 1.7 e2e.json
59 LGN node_type_id=='468120757' static_synapse 1.7 e2e.json
60 LGN node_type_id=='476048909' static_synapse 1.7 e2e.json
61 LGN node_type_id=='480169178' static_synapse 1.7 e2e.json
62 LGN node_type_id=='324025297' static_synapse 1.7 e2e.json
63 LGN node_type_id=='320207387' static_synapse 1.7 e2e.json
64 LGN node_type_id=='469793303' static_synapse 1.7 e2e.json
65 LGN node_type_id=='473564515' static_synapse 1.7 e2i.json
66 LGN node_type_id=='476104386' static_synapse 1.7 e2i.json
67 LGN node_type_id=='471819401' static_synapse 1.7 e2e.json
68 LGN node_type_id=='466632464' static_synapse 1.7 e2e.json
69 LGN node_type_id=='471789504' static_synapse 1.7 e2e.json
70 LGN node_type_id=='490916919' static_synapse 1.7 e2e.json
71 LGN node_type_id=='336676216' static_synapse 1.7 e2i.json
72 LGN node_type_id=='504608602' static_synapse 1.7 e2i.json
73 LGN node_type_id=='484737013' static_synapse 1.7 e2e.json
74 LGN node_type_id=='479225080' static_synapse 1.7 e2e.json
75 LGN node_type_id=='482764620' static_synapse 1.7 e2i.json
76 LGN node_type_id=='501282204' static_synapse 1.7 e2i.json
77 LGN node_type_id=='518271679' static_synapse 1.7 e2e.json
78 LGN node_type_id=='481017021' static_synapse 1.7 e2i.json
79 LGN node_type_id=='480122859' static_synapse 1.7 e2e.json
80 LGN node_type_id=='476263004' static_synapse 1.7 e2e.json
81 LGN node_type_id=='482773968' static_synapse 1.7 e2i.json
82 LGN node_type_id=='386970660' static_synapse 1.7 e2e.json
83 LGN node_type_id=='324266189' static_synapse 1.7 e2i.json
84 LGN node_type_id=='328549885' static_synapse 1.7 e2i.json
85 LGN node_type_id=='476451456' static_synapse 1.7 e2e.json
86 LGN node_type_id=='487176969' static_synapse 1.7 e2i.json
87 LGN node_type_id=='478949560' static_synapse 1.7 e2i.json
88 LGN node_type_id=='480090260' static_synapse 1.7 e2e.json
89 LGN node_type_id=='518290966' static_synapse 1.7 e2e.json
90 LGN node_type_id=='318556138' static_synapse 1.7 e2i.json
91 LGN node_type_id=='484659182' static_synapse 1.7 e2e.json
92 LGN node_type_id=='488419491' static_synapse 1.7 e2e.json
93 LGN node_type_id=='507996688' static_synapse 1.7 e2e.json
94 LGN node_type_id=='479219923' static_synapse 1.7 e2i.json
95 LGN node_type_id=='480952106' static_synapse 1.7 e2i.json
96 LGN node_type_id=='501848315' static_synapse 1.7 e2e.json
97 LGN node_type_id=='482809953' static_synapse 1.7 e2e.json
98 LGN node_type_id=='517645929' static_synapse 1.7 e2e.json
99 LGN node_type_id=='479492633' static_synapse 1.7 e2e.json
100 LGN node_type_id=='486146828' static_synapse 1.7 e2e.json
101 LGN node_type_id=='476056333' static_synapse 1.7 e2e.json
102 LGN node_type_id=='478958894' static_synapse 1.7 e2i.json
103 LGN node_type_id=='517982558' static_synapse 1.7 e2e.json
104 LGN node_type_id=='478412623' static_synapse 1.7 e2i.json
105 LGN node_type_id=='515305346' static_synapse 1.7 e2i.json
106 LGN node_type_id=='481093525' static_synapse 1.7 e2i.json
107 LGN node_type_id=='509003464' static_synapse 1.7 e2e.json
108 LGN node_type_id=='483018019' static_synapse 1.7 e2e.json
109 LGN node_type_id=='486176465' static_synapse 1.7 e2e.json
110 LGN node_type_id=='539742766' static_synapse 1.7 e2e.json
